3ount,O3,O5,O4,W24,W25,W13,W15,W14,W23,W46,W56,W36,Err1,Err3,Err2,Err5,Err4,Err6,O6
203,0.93802825,0.99323668,0.01478652,-3.07968086,0.49581771,-2.65638807,3.99790886,1.96015957,2.68722386,0.64016128,-2.07311750,-2.57706064,0.00000000,0.00001917,0.00000000,0.00000178,-0.00000119,-0.00012799,0.01137837
204,0.93808393,0.99323728,0.01478565,-3.07970461,0.49585318,-2.65619744,3.99792659,1.96014769,2.68760513,0.64014245,-2.07438247,-2.57825537,0.00000000,0.00001906,0.00000000,0.00000177,-0.00000119,-0.00012736,0.01134990
205,0.93813927,0.99323787,0.01478478,-3.07972825,0.49588849,-2.65600782,3.99794425,1.96013588,2.68798436,0.64012372,-2.07564118,-2.57944425,0.00000000,0.00001896,0.00000000,0.00000177,-0.00000118,-0.00012673,0.01132164
206,0.93819427,0.99323847,0.01478392,-3.07975176,0.49592365,-2.65581920,3.99796183,1.96012412,2.68836160,0.64010507,-2.07689370,-2.58062736,0.00000000,0.00001886,0.00000000,0.00000176,-0.00000118,-0.00012610,0.01129358
207,0.93824893,0.99323906,0.01478307,-3.07977516,0.49595865,-2.65563158,3.99797933,1.96011242,2.68873684,0.64008652,-2.07814008,-2.58180474,0.00000000,0.00001876,0.00000000,0.00000175,-0.00000117,-0.00012549,0.01126573
208,0.93830326,0.99323965,0.01478222,-3.07979844,0.49599350,-2.65544494,3.99799675,1.96010078,2.68911012,0.64006806,-2.07938039,-2.58297645,0.00000000,0.00001866,0.00000000,0.00000174,-0.00000116,-0.00012488,0.01123809
209,0.93835726,0.99324023,0.01478137,-3.07982161,0.49602820,-2.65525927,3.99801410,1.96008920,2.68948146,0.64004969,-2.08061469,-2.58414254,0.00000000,0.00001857,0.00000000,0.00000173,-0.00000116,-0.00012427,0.01121064
210,0.93841094,0.99324081,0.01478052,-3.07984466,0.49606275,-2.65507457,3.99803138,1.96007767,2.68985086,0.64003141,-2.08184303,-2.58530307,0.00000000,0.00001847,0.00000000,0.00000173,-0.00000115,-0.00012367,0.01118340
211,0.93846429,0.99324139,0.01477969,-3.07986760,0.49609715,-2.65489082,3.99804858,1.96006620,2.69021837,0.64001322,-2.08306546,-2.58645809,0.00000000,0.00001838,0.00000000,0.00000172,-0.00000115,-0.00012308,0.01115635
212,0.93851733,0.99324197,0.01477885,-3.07989043,0.49613141,-2.65470801,3.99806570,1.96005479,2.69058398,0.63999512,-2.08428206,-2.58760765,0.00000000,0.00001828,0.00000000,0.00000171,-0.00000114,-0.00012249,0.01112949
